"dname","attrib","img","behavior","target_team","manacost","description","cooldown","dmg_type","target_type","dispellable","bkbpierce","lore","damage","is_innate"
"+.5s Thunder Strike Slow Duration","","","","","","","","","","","","","",""
"+0 Hex Damage Amplification","","","","","","","","","","","","","",""
"+0.2 Mana Void Damage Multiplier","","","","","","","","","","","","","",""
"+0.2 Predator Damage Per Missing Health","","","","","","","","","","","","","",""
"+0.2 Reactive Armor Regeneration Per Stack","","","","","","","","","","","","","",""
"+0.2 Sanity's Eclipse Mana Difference Multiplier","","","","","","","","","","","","","",""
"+0.2% Overcharge Max HP Regen Bonus","","","","","","","","","","","","","",""
"+0.20s Impale Stun Duration","","","","","","","","","","","","","",""
"+0.2s Boundless Strike Stun Duration","","","","","","","","","","","","","",""
"+0.2s Electric Vortex Duration","","","","","","","","","","","","","",""
"+0.2s Requiem Fear per line","","","","","","","","","","","","","",""
"+0.2s Slithereen Crush Stun Duration","","","","","","","","","","","","","",""
"+0.3 Backstab Multiplier","","","","","","","","","","","","","",""
"+0.3s Burrowstrike Stun","","","","","","","","","","","","","",""
"+0.3s Homing Missile Stun Duration","","","","","","","","","","","","","",""
"+0.3s Magic Missile Stun Duration","","","","","","","","","","","","","",""
"+0.3s Sinister Gaze Duration","","","","","","","","","","","","","",""
"+0.4s Dragon Tail Stun","","","","","","","","","","","","","",""
"+0.4s Ice Path Duration","","","","","","","","","","","","","",""
"+0.4s Lucent Beam Ministun","","","","","","","","","","","","","",""
"+0.4s Telekinesis Lift/Stun Duration","","","","","","","","","","","","","",""
"+0.5 Swarm Armor Reduction","","","","","","","","","","","","","",""
"+0.5% Heartstopper Aura Damage","","","","","","","","","","","","","",""
"+0.5s Cursed Crown Stun Duration","","","","","","","","","","","","","",""
"+0.5s Fortune's End Duration","","","","","","","","","","","","","",""
"+0.5s Lightning Bolt Ministun","","","","","","","","","","","","","",""
"+0.5s Phantom Strike Duration","","","","","","","","","","","","","",""
"+0.5s Pit of Malice Root","","","","","","","","","","","","","",""
"+0.5s Pounce Leash","","","","","","","","","","","","","",""
"+0.5s Rolling Boulder Stun Duration","","","","","","","","","","","","","",""
"+0.5s Spiked Carapace Reflect Duration","","","","","","","","","","","","","",""
