"","hero_name","hero_id","has_scepter","scepter_desc","scepter_skill_name","scepter_new_skill","has_shard","shard_desc","shard_skill_name","shard_new_skill"
0,"npc_dota_hero_antimage",1,True,"After casting Blink, your next Mana Break within 5s burns an additional 20% max mana and prevents the target from regenerating or gaining mana for a short duration. This debuff is undispellable. Blink Cooldown reduced by 1s.","Blink",False,True,"Counterspell Ally may be activated to create an anti-magic shell around an allied hero that blocks any targeted spells. Any time a spell is blocked by Counterspell or Counterspell Ally, an illusion of Anti-Mage will be created next to the enemy.","Counterspell Ally",True
1,"npc_dota_hero_axe",2,True,"Counter Helix now applies a stacking debuff to enemies hit by it that causes them to deal less total attack damage to Axe. Counter Helix no longer has a cooldown and its counter advances when Axe attacks.","Counter Helix",False,True,"Multiple instances of Battle Hunger can stack on a single target.","Battle Hunger",False
2,"npc_dota_hero_bane",3,True,"Reduces Fiend's Grip cooldown by 45. Fiend's Grip now creates two uncontrollable illusions that are also channeling Fiend's Grip on the target. Illusions take 200% incoming damage and immediately die if they are interrupted. Damage does not stack.","Fiend's Grip",False,True,"Reduces cooldown by 3. Causes Brain Sap to become a 550 AoE spell. Secondary targets only heal for 30%.","Brain Sap",False
3,"npc_dota_hero_bloodseeker",4,True,"Bloodseeker sprays his blood continuously in the area around him, losing health to damage and slow his enemies. While active, Sanguivore's healing is increased. Cannot be turned off while on cooldown. 

Additionally, passively turns all your overheal from your own abilities into an all damage barrier up to 50% of Bloodseeker's Max Health. Barrier amount decays by 0.5% per second.","Blood Mist",True,True,"Bloodrage attacks now deal 35 pure damage and heals Bloodseeker for that amount. Only works for Bloodseeker.","Bloodrage",False
4,"npc_dota_hero_crystal_maiden",5,True,"Allows you to move, cast and attack during Freezing Field. Can still be interrupted by enemies. You move 75% slower during this. Increases total number of explosions by 20%. Applies Frostbite to any unit that has been standing in the Freezing Field for over 2.5s.","Freezing Field",False,True,"Slides in a direction, creating a crystal clone of herself in her place and disjointing incoming projectiles. If the clone takes enough damage or times out, it shatters, Frostbiting enemies in a 450 AoE around its place. The Clone can also be destroyed by Crystal Maiden's own spells.","Crystal Clone",True
5,"npc_dota_hero_drow_ranger",6,True,"Frost Arrows now apply a Hypothermia stack to enemies, increasing damage from Frost Arrows and reducing their regeneration per stack. If an enemy dies with Hypothermia stacks, they burst and deal damage per stack and slow in an area around it.","Frost Arrows",False,True,"Drow creates a hill of ice beneath her. While standing on the hill, attackers gain bonus attack range and high ground advantage - they cannot miss and gain flying vision. Drow additionally gets bonus Multishot arrows per wave while on the hill. The front of the hill obscures vision and cannot be moved through except by Drow. Does not interrupt Multishot when cast.","Glacier",True
6,"npc_dota_hero_earthshaker",7,True,"Enchant Totem becomes a ground target ability, causing Earthshaker to jump in the air and land at the target spot, casting Enchant Totem there.  Self-casting the ability will behave in the original form, without jumping. Grants Enchant Totem a cleaving attack.","Enchant Totem",False,True,"Reduces Fissure cooldown and allows Earthshaker to walk on it. When he casts any ability, an Aftershock is released along its path that stuns for a shortened duration.","Fissure",False
7,"npc_dota_hero_juggernaut",8,True,"Performs a short Omnislash for 1 seconds.","Swiftslash",True,True,"Increases Blade Fury radius, and slows enemies by 35%.","Blade Fury",False
8,"npc_dota_hero_mirana",9,True,"Causes Sacred Arrow to release a Starstorm on enemies along the travel path of the primary arrow, releasing a second Starstorm that deals less damage to the impacted unit.","Sacred Arrow",False,True,"Upon landing, launches a projectile along Sagan's leap path, dealing damage and slowing units affected and guarantees them to be hit with a secondary Starstorm if that spell is cast. Leap does not break Moonlight Shadow invisibility.

 Can be put on alt-cast to choose the distance and facing direction of the jump. 

Grants 1 bonus charge(s).","Leap",False
9,"npc_dota_hero_morphling",10,True,"Adds an alt-cast to Morph. When enabled, a strong illusion is created of the target hero that can cast all of the hero's basic abilities. If the illusion is alive when Morphling toggles the ability, he will take the place of the illusion, destroying it.","Morph",False,True,"Morphling can shift attributes while stunned. Reduces mana cost.","Attribute Shift (Strength Gain)",False
10,"npc_dota_hero_nevermore",11,True,"Increases max souls.","Necromastery",False,True,"Cooldown reduced by 2s per enemy hero.","Shadowraze",False
11,"npc_dota_hero_phantom_lancer",12,True,"Spirit Lance bounces twice on enemies, prioritizing Heroes. Increases Spirit Lance illusion damage.","Spirit Lance",False,True,"Adds an active ability to Juxtapose. Renders Phantom Lancer invisible for up to 8 seconds while generating a duplicate image to confuse enemies. His movement speed is increased by 15% during this invisibility.","Juxtapose",False
12,"npc_dota_hero_puck",13,True,"All enemies affected by Dream Coil are attacked at a rate equal to 90% of Puck's attack rate. The attacks continue while the target is stunned if they break the Dream Coil.","Dream Coil",False,True,"Puck's attacks deal bonus magic damage. Puck attacks all enemies within its attack range every time it phase shifts.","Phase Shift",False
13,"npc_dota_hero_pudge",14,True,"Increases Rot radius and damage, and causes it to reduce enemy health regen.","Rot",False,True,"Decreases cooldown, and allows targeting an ally with bonus cast range to swallow them and heal them for a percentage of their max health per second.","Dismember",False
14,"npc_dota_hero_razor",15,True,"Causes Eye of the Storm to strike two different units instead of one and can damage structures. When striking buildings, it will only target towers, barracks, and the Ancient.","Eye of the Storm",False,True,"Increases Cast Range. Allows Static Link to be put on alt-cast to pull Razor and his Target towards at each other at a speed of 75.","Static Link",False
15,"npc_dota_hero_sand_king",16,True,"When the pulses start, 3 Stinger attack areas are created every =0.5s at random locations, each measuring 15% of the Epicenter's current radius, that apply =50% of Stinger damage to enemies hit. Shard pulses cause 1 attack(s).","Epicenter",False,True,"Increases Epicenter damage per pulse. Every 3.5s causes a small single Epicenter Pulse around Sand King.","Epicenter",False
16,"npc_dota_hero_storm_spirit",17,True,"Electric Vortex affects all enemies within a radius around Storm Spirit.","Electric Vortex",False,True,"Can be activated to grant Storm Spirit and nearby allied heroes 3 Overload charges. Provides bonus Attack Speed. Lasts up to 12 seconds or until the charges are depleted.","Overload",False
17,"npc_dota_hero_sven",18,True,"Increases cast range and applies a basic dispel on the target. Can be cast on invulnerable targets. If alt-cast, it deals an additional 180 damage and Sven travels with the Storm Hammer.","Storm Hammer",False,True,"Warcry is now undispellable and passively grants 6 armor to all allies near Sven. Increases active movement speed bonus.","Warcry",False
18,"npc_dota_hero_tiny",19,True,"CHANNELED - Tiny channels to throw random trees within range towards the targeted area. Deals Tiny's attack damage to enemies in that area with each tree thrown.","Tree Volley",True,True,"Increases damage dealt by thrown trees by %bonus_bonus_damage%.","Tree Throw",False
19,"npc_dota_hero_vengefulspirit",20,True,"Upon death, creates a strong illusion of Vengeful Spirit that deals and takes full damage and can cast all of her spells. If the illusion is alive when Vengeful Spirit respawn, she will take its place. XP earned by her illusion is given to her. Strong Illusions are not instantly killed by spells.","Vengeance Aura",False,True,"Bounces once on an enemy, prioritizing heroes, within 75% of Magic Missile's current cast range from the first target.","Magic Missile",False
20,"npc_dota_hero_windrunner",21,True,"Windrun reduces physical damage taken by 45%, and grants invisibility that is not broken by attacking or casting spells.","Windrun",False,True,"Vector Targeted. Summons a strong wind that pushes all enemies in the target area towards the target direction.","Gale Force",True
21,"npc_dota_hero_zuus",22,True,"Creates a storm cloud anywhere on the map that automatically casts Lightning Bolt on nearby enemies.","Nimbus",True,True,"Zeus gains bonus attack speed and his attacks create Arc Lightnings that deal a percentage of its damage. Can be toggled off to stop this effect.","Lightning Hands",True
22,"npc_dota_hero_kunkka",23,True,"Ghostship creates a fleet of 2 ships at the target point on a 2.5 second interval. Each ship now also fires 3 waves of cannonballs from the port and starboard side that deal 40% of Ghostship's damage as they pass through enemies.","Ghostship",False,True,"Releases a Tidal Wave that spawns behind Kunkka. Deals damage and drags enemies along it for the duration. Enemies cannot attack while being dragged.","Tidal Wave",True
23,"npc_dota_hero_lina",25,True,"Grants Lina unobstructed movement and increases her spell damage and magic resistance. Grants max fiery soul stacks on activation.","Flame Cloak",True,True,"Lina's abilities deal 20 more damage for each Fiery Soul Charge.","Fiery Soul",False
24,"npc_dota_hero_lion",26,True,"Increases damage. Decreases cooldown. Finger of Death hits all units in a small area.","Finger of Death",False,True,"Causes Mana Drain to affect up to 2 additional enemies and increases break distance. Lion becomes Debuff Immune with 60% magic resistance while channeling.","Mana Drain",False
25,"npc_dota_hero_shadow_shaman",27,True,"Causes Serpent Wards to have split shot, attacking two units for full damage.","Mass Serpent Ward",False,True,"Shackles creates 4 Serpent Wards attacking the target. Increases Shackles cast range by 75. Serpent wards lasts =2.5 seconds after Shackles end.","Shackles",False
26,"npc_dota_hero_slardar",28,True,"Provides additional HP Regen, Armor and Status Resistance while in a puddle or in the river.","Seaborn Sentinel",False,True,"Slithereen Crush now applies Corrosive Haze for a short time to units affected.","Slithereen Crush",False
27,"npc_dota_hero_tidehunter",29,True,"Gush becomes a ground targeted wave ability that affects enemy units in a line.  Decreases cooldown.","Gush",False,True,"Tidehunter attaches a heavy anchor to an enemy hero. The hero is leashed while attached to the anchor. Attempting to move more than 350 units away from the anchor forces the hero to 100 move speed, dragging the anchor behind them. The anchor can be destroyed with 4 hero attacks.","Dead in the Water",True
28,"npc_dota_hero_witch_doctor",30,True,"Death Ward attacks bounce between nearby enemies.","Death Ward",False,True,"Turns Witch Doctor into a Death Ward briefly with reduced attack speed. He is hidden during this time.","Voodoo Switcheroo",True
29,"npc_dota_hero_lich",31,True,"Sinister Gaze becomes an Area of Effect ability, affecting units within a radius of 400 in the target area.","Sinister Gaze",False,True,"Creates an Ice Spire at the target spot, slowing enemies around it. Can take 5 hero hits or 10 creep hits and when destroyed it will create a Frost Blast around it.

Chain Frost can be cast on the Spire and can bounce to the Spire if there are no other enemies in range.

Lich can cast Frost Shield on the Spire. Each Frost Shield tick will heal the spire by 1 hero attack.","Ice Spire",True
30,"npc_dota_hero_riki",32,True,"Increases cast range, number of attacks and allows you to target an allied hero, hiding inside them for the duration.  Each attack hits an additional target.","Tricks of the Trade",False,True,"Enemies caught in the smoke screen have their armor reduced by 5 and cannot be targeted by their allies.","Smoke Screen",False
31,"npc_dota_hero_enigma",33,True,"Black Hole deals additional damage equivalent to 4% of the unit's Max Health per second and does a non-interrupting pull towards it in a 1200 AoE. Pulls at a rate of 175.","Black Hole",False,True,"Increases Malefice stun duration by 0.35s and creates an Eidolon next to the target every instance of Malefice stun. These Eidolons will not multiply further.","Malefice",False
