"patch","date"
"6.70","2010-12-24T00:00:00Z"
"6.71","2011-01-21T00:00:00Z"
"6.72","2011-04-27T00:00:00Z"
"6.73","2011-12-24T00:00:00Z"
"6.74","2012-03-10T00:00:00Z"
"6.75","2012-09-30T00:00:00Z"
"6.76","2012-10-21T00:00:00Z"
"6.77","2012-12-15T00:00:00Z"
"6.78","2013-05-30T00:00:00Z"
"6.79","2013-11-24T00:00:00Z"
"6.80","2014-01-27T00:00:00Z"
"6.81","2014-04-29T00:00:00Z"
"6.82","2014-09-24T00:00:00Z"
"6.83","2014-12-17T00:00:00Z"
"6.84","2015-04-30T21:00:00Z"
"6.85","2015-09-24T20:00:00Z"
"6.86","2015-12-16T20:00:00Z"
"6.87","2016-04-26T01:00:00Z"
"6.88","2016-06-12T08:00:00Z"
"7.00","2016-12-13T00:00:00Z"
"7.01","2016-12-21T03:00:00Z"
"7.02","2017-02-09T04:00:00Z"
"7.03","2017-03-16T00:00:00Z"
"7.04","2017-03-23T18:00:00Z"
"7.05","2017-04-09T22:00:00Z"
"7.06","2017-05-15T15:00:00Z"
"7.07","2017-10-31T23:00:00Z"
"7.08","2018-02-01T00:00:00Z"
"7.09","2018-02-15T00:00:00.000Z"
"7.10","2018-03-01T00:00:00.000Z"
"7.11","2018-03-15T00:00:00.000Z"
"7.12","2018-03-29T00:00:00.000Z"
"7.13","2018-04-12T00:00:00.000Z"
"7.14","2018-04-26T00:00:00.000Z"
"7.15","2018-05-10T00:00:00.000Z"
"7.16","2018-05-27T00:00:00.000Z"
"7.17","2018-06-10T00:00:00.000Z"
"7.18","2018-06-24T00:00:00.000Z"
"7.19","2018-07-30T00:00:00.000Z"
"7.20","2018-11-19T18:00:00.000Z"
"7.21","2019-01-29T18:00:00.000Z"
"7.22","2019-05-25T00:00:00.000Z"
"7.23","2019-11-26T18:00:00.000Z"
"7.24","2020-01-27T00:00:00.000Z"
"7.25","2020-03-17T18:00:00.000Z"
"7.26","2020-04-18T00:00:00.000Z"
"7.27","2020-06-29T00:00:00.000Z"
"7.28","2020-12-18T00:00:00.000Z"
"7.29","2021-04-10T00:00:00.000Z"
"7.30","2021-08-18T02:53:21.000Z"
"7.31","2022-02-23T23:46:14.907Z"
"7.32","2022-08-24T02:16:32.682Z"
"7.33","2023-04-21T01:22:56.804Z"
"7.34","2023-08-09T00:11:15.281Z"
"7.35","2023-12-14T16:07:43.429Z"
"7.36","2024-05-23T05:26:05.242Z"
"7.37","2024-08-01T07:30:27.355Z"
