hero_id,section,item,rate
106,starting,branches,99.49
106,starting,faerie_fire,82.81
106,starting,tango,97.97
106,starting,quelling_blade,72.84
106,starting,ward_observer,83.21
106,starting,ward_sentry,1.22
106,starting,slippers,3.36
106,starting,circlet,7.73
106,starting,smoke_of_deceit,0.31
106,starting,blight_stone,1.32
106,starting,magic_stick,6.21
106,starting,magic_wand,0.92
106,starting,blood_grenade,2.14
106,starting,tpscroll,0.2
106,starting,mantle,0.71
106,starting,null_talisman,0.1
106,starting,ring_of_protection,0.31
106,starting,dust,0.1
106,starting,orb_of_venom,0.31
106,starting,gauntlets,0.1
106,starting,robe,0.1
106,starting,enchanted_mango,0.1
106,starting,clarity,0.1
106,starting,boots,0.61
106,starting,wraith_band,0.1
106,early,bottle,91.76
106,early,blight_stone,64.7
106,early,magic_stick,87.28
106,early,branches,31.64
106,early,magic_wand,85.45
106,early,ward_observer,74.36
106,early,ward_sentry,40.69
106,early,boots,100.51
106,early,blades_of_attack,95.22
106,early,tpscroll,134.99
106,early,chainmail,93.79
106,early,phase_boots,92.07
106,early,blitz_knuckles,43.03
106,early,sobi_mask,48.73
106,early,oblivion_staff,27.47
106,early,robe,36.01
106,early,javelin,26.25
106,early,gloves,25.03
106,early,infused_raindrop,18.82
106,early,clarity,37.23
106,early,cloak,24.82
106,early,mage_slayer,7.73
106,early,blood_grenade,7.12
106,early,wind_lace,1.73
106,early,mithril_hammer,8.95
106,early,maelstrom,4.68
106,early,circlet,10.27
106,early,mantle,9.46
106,early,flask,4.88
106,early,null_talisman,9.77
106,early,tango,14.85
106,early,dust,3.26
106,early,faerie_fire,0.92
106,early,wraith_band,5.7
106,early,orb_of_venom,4.58
106,early,ring_of_protection,4.98
106,early,orb_of_corrosion,4.27
106,early,slippers,3.26
106,early,void_stone,0.1
106,early,boots_of_elves,2.44
106,early,power_treads,2.54
106,early,smoke_of_deceit,2.34
106,early,enchanted_mango,3.15
106,early,ring_of_basilius,1.02
106,early,arcane_boots,0.92
106,early,relic,0.61
106,early,fluffy_hat,1.63
106,early,falcon_blade,0.51
106,early,crown,0.31
106,early,broadsword,1.12
106,early,claymore,1.73
106,early,bfury,0.1
106,early,cornucopia,0.92
106,early,quelling_blade,0.61
106,early,staff_of_wizardry,0.31
106,early,hand_of_midas,0.2
106,early,lesser_crit,0.92
106,early,blade_of_alacrity,0.1
106,early,yasha,0.1
106,early,ogre_axe,0.1
106,early,urn_of_shadows,0.92
106,early,ring_of_regen,0.2
106,early,tranquil_boots,0.1
106,early,bracer,0.51
106,early,gauntlets,0.41
106,early,vitality_booster,0.2
106,early,spirit_vessel,0.2
106,early,talisman_of_evasion,0.31
106,early,blade_mail,0.1
106,early,headdress,0.1
106,early,mekansm,0.1
106,early,belt_of_strength,0.2
106,early,radiance,0.1
106,early,blink,0.1
106,early,kaya,0.1
106,mid,cloak,46.29
106,mid,mage_slayer,58.7
106,mid,javelin,48.42
106,mid,gloves,57.68
106,mid,mithril_hammer,109.05
106,mid,maelstrom,67.85
106,mid,tpscroll,287.49
106,mid,staff_of_wizardry,79.86
106,mid,rod_of_atos,49.75
106,mid,vitality_booster,56.05
106,mid,gungir,49.44
106,mid,dust,19.53
106,mid,great_famango,11.5
106,mid,ogre_axe,47.0
106,mid,aghanims_shard,37.23
106,mid,black_king_bar,30.11
106,mid,helm_of_iron_will,24.42
106,mid,crown,24.31
106,mid,veil_of_discord,23.5
106,mid,void_stone,16.68
106,mid,wind_lace,12.21
106,mid,cyclone,10.68
106,mid,relic,7.53
106,mid,talisman_of_evasion,7.43
106,mid,radiance,7.32
106,mid,sobi_mask,24.62
106,mid,ring_of_protection,2.03
106,mid,fluffy_hat,1.32
106,mid,urn_of_shadows,0.81
106,mid,spirit_vessel,1.32
106,mid,mantle,0.61
106,mid,robe,39.47
106,mid,kaya,6.21
106,mid,oblivion_staff,40.9
106,mid,ward_sentry,9.16
106,mid,clarity,44.25
106,mid,belt_of_strength,4.58
106,mid,sange,3.97
106,mid,kaya_and_sange,2.44
106,mid,smoke_of_deceit,4.37
106,mid,blitz_knuckles,26.14
106,mid,energy_booster,4.07
106,mid,soul_booster,3.36
106,mid,point_booster,11.7
106,mid,diadem,4.98
106,mid,blade_of_alacrity,13.22
106,mid,boots_of_elves,6.1
106,mid,yasha,5.6
106,mid,manta,3.87
106,mid,platemail,17.5
106,mid,shivas_guard,13.94
106,mid,ring_of_health,4.37
106,mid,pers,4.37
106,mid,ultimate_orb,4.17
106,mid,sphere,3.15
106,mid,magic_stick,2.44
106,mid,branches,2.95
106,mid,magic_wand,5.19
106,mid,ultimate_scepter,6.1
106,mid,basher,0.41
106,mid,demon_edge,4.98
106,mid,monkey_king_bar,0.1
106,mid,desolator,5.19
106,mid,blight_stone,2.34
106,mid,blades_of_attack,7.93
106,mid,lesser_crit,6.21
106,mid,claymore,7.22
106,mid,greater_crit,4.37
106,mid,skadi,0.31
106,mid,voodoo_mask,1.63
106,mid,bloodstone,0.71
