hero_id,win_rate
1,0.44
2,0.44
3,0.55
4,0.56
5,0.52
6,0.48
7,0.46
8,0.45
9,0.51
10,0.46
11,0.5
12,0.49
13,0.52
14,0.49
15,0.49
16,0.51
17,0.53
18,0.49
19,0.46
20,0.49
21,0.5
22,0.48
23,0.49
25,0.48
26,0.51
27,0.49
28,0.47
29,0.56
30,0.46
31,0.48
32,0.48
33,0.55
34,0.49
35,0.5
36,0.51
37,0.47
38,0.48
39,0.47
40,0.5
41,0.41
42,0.49
43,0.52
44,0.45
45,0.5
46,0.5
47,0.53
48,0.51
49,0.48
50,0.44
51,0.51
52,0.53
53,0.57
54,0.45
55,0.52
56,0.55
57,0.52
58,0.51
59,0.47
60,0.53
61,0.54
62,0.57
63,0.5
64,0.48
65,0.49
66,0.64
67,0.49
68,0.51
69,0.51
70,0.47
71,0.51
72,0.48
73,0.54
74,0.53
75,0.48
76,0.48
77,0.48
78,0.44
79,0.55
80,0.55
81,0.48
82,0.46
83,0.51
84,0.52
85,0.45
86,0.5
87,0.5
88,0.54
89,0.57
90,0.52
91,0.46
92,0.53
93,0.54
94,0.47
95,0.48
96,0.5
97,0.53
98,0.48
99,0.51
100,0.5
101,0.49
102,0.47
103,0.52
104,0.49
105,0.45
106,0.46
107,0.55
108,0.46
109,0.55
110,0.49
111,0.46
112,0.55
113,0.42
114,0.54
119,0.5
120,0.5
121,0.48
123,0.49
126,0.48
128,0.5
129,0.46
135,0.52
136,0.48
137,0.51
138,0.53
