hero_id,Pick Count,Ban Count,Pick Rate,Ban Rate,Pick Rank,Ban Rank,Win Rate,roles
48,2189,1461,25.71,17.16,1,30,51.0,"['Carry', 'Nuker', 'Pusher']"
86,2181,1512,25.62,17.76,2,29,50.0,"['Support', 'Disabler', 'Nuker']"
11,1865,2849,21.91,33.47,3,4,50.0,"['Carry', 'Nuker']"
49,1800,1615,21.14,18.97,4,24,48.0,"['Carry', 'Pusher', 'Durable', 'Disabler', 'Initiator', 'Nuker']"
51,1639,2480,19.25,29.13,5,9,51.0,"['Initiator', 'Disabler', 'Durable', 'Nuker']"
100,1637,1738,19.23,20.42,6,19,50.0,"['Initiator', 'Disabler', 'Nuker']"
14,1524,558,17.9,6.55,7,75,49.0,"['Disabler', 'Initiator', 'Durable', 'Nuker']"
84,1382,384,16.23,4.51,8,91,52.0,"['Support', 'Nuker', 'Disabler', 'Durable', 'Initiator']"
16,1371,2785,16.1,32.71,9,5,51.0,"['Initiator', 'Disabler', 'Support', 'Nuker', 'Escape']"
26,1296,288,15.22,3.38,10,101,51.0,"['Support', 'Disabler', 'Nuker', 'Initiator']"
39,1232,1609,14.47,18.9,11,25,47.0,"['Carry', 'Nuker', 'Escape']"
74,1225,2512,14.39,29.51,12,8,53.0,"['Carry', 'Nuker', 'Disabler', 'Escape', 'Pusher']"
123,1215,700,14.27,8.22,13,62,49.0,"['Support', 'Nuker', 'Escape', 'Disabler']"
9,1210,1552,14.21,18.23,14,26,51.0,"['Carry', 'Support', 'Escape', 'Nuker', 'Disabler']"
98,1191,1443,13.99,16.95,15,31,48.0,"['Nuker', 'Durable', 'Escape']"
120,1177,2898,13.83,34.04,16,3,50.0,"['Carry', 'Nuker', 'Disabler', 'Durable', 'Escape', 'Initiator']"
10,1155,1709,13.57,20.08,17,21,46.0,"['Carry', 'Escape', 'Durable', 'Nuker', 'Disabler']"
69,1148,2199,13.49,25.83,18,12,51.0,"['Carry', 'Disabler', 'Initiator', 'Durable', 'Nuker']"
96,1147,1001,13.47,11.76,19,47,50.0,"['Durable', 'Initiator', 'Disabler', 'Nuker', 'Escape']"
21,1139,2959,13.38,34.76,20,2,50.0,"['Carry', 'Support', 'Disabler', 'Escape', 'Nuker']"
79,1134,3058,13.32,35.92,21,1,55.0,"['Support', 'Disabler', 'Initiator', 'Nuker']"
17,1111,1297,13.05,15.24,22,37,53.0,"['Carry', 'Escape', 'Nuker', 'Initiator', 'Disabler']"
19,1099,632,12.91,7.42,23,68,46.0,"['Carry', 'Nuker', 'Pusher', 'Initiator', 'Durable', 'Disabler']"
119,1098,1739,12.9,20.43,24,18,50.0,"['Support', 'Nuker', 'Disabler', 'Escape']"
